Model : SVM, and Preprocessing : Sans chiffres + (1,3)gram

#A noter que les exemples de test sont ordonnés mais pas les exemples d'apprentissages choisis au hasard
#L'ordre observé ici n'a donc pas influencé l'apprentissage

Estimate    True Value    Text sample
0    0    back in february at the monthly los angeles comic book and science fiction convention , new line cinema put on a lavish presentation for its big-screen update of the cult 1960s sci-fi tv show lost in space , complete with in-person appearances by cast members mimi rogers , matt leblanc , lacey chabert , jack johnson , and even gary oldman . 
0    0    i have never seen a man so in love with himself than george lucas . 
0    0    filmmakers will use all manner of tricks to flesh out and brighten up a dull , dreary , and overused idea . 
0    0     " be gentle , " urges natasha henstridge to matthew perry in " the whole nine yards . " 
0    0     " flubber " is the second best example of how to take all the life out of a film remake an adaptation , and hysterically enough both were distributed by disney . 
0    0    what's to like about the world of extremely violent trash pornography--ie . 
0    0    200 cigarettes takes place on new year's eve 1981 . 
0    0     " i seem to have glued myself . . . 
0    0    new address . 
0    0    tri-star ; rated r ( language , sexual situations , violence ) ; 87 minutes 
0    0     " with all that education , you should know what happiness is . " 
0    0    senseless is a prime example of what can happen when you try to push a one-joke concept a bit too far . 
0    0    i have a confession . 
0    0    capsule : five friends at a stag party are involved in the accidental killing of a prostitute . 
0    0    what hath kevin williamson wrought ? 
0    0    there have been merchant-ivory costume dramas with more of a pulse than " the mod squad , " a self-consciously " hip " cinematic rendering of the old tv series still looked upon fondly by so many baby-boomers . 
0    0     " saving silverman " is a good example of a good comedy gone bad . 
0    0    one of my brother's favorite movies is h . b . halicki's 1974 cult flick " gone is sixty seconds , " one of the best products of the car-chase genre that provided drive-in fare during the 1970's . 
0    0    1 . he doesn't have a hard-to-decipher accent , 2 . he doesn't always speak in a monotone , and 3 . 
0    0    any remake of an alfred hitchcock film is at best an uncertain project , as a perfect murder illustrates . 
0    0    house on haunted hill ( 1999 ) starring taye diggs , geoffrey rush , ali larter , famke janssen , peter gallagher , bridgette wilson , max perlich , lisa loeb , james marsters , and chris kattan . 
0    0    fit for a ghoul's night out , fat girl stands cast iron firm with the simplistic , fatuous , built-in excuse that its woman director is baring the harsh sexual realities of adolescent girls . 
0    0    well , here's a distasteful , thoroughly amateurish item that , surprisingly , was actually a box-office hit at the time of its release . 
0    0    okay , i just don't know why , but i seem to be getting this diversion to disney-made real-life actors movies . . . as 
0    0    after 1993's " falling down , " i hoped that joel schumacher would mature into a great director . 
0    0     " nothing more than a high budget masturbation fantasy " 
0    0    some movies ask you to leave your brain at the door , some movies ask you to believe in the impossible to really have a good time . 
0    0    tim burton has now completed his evolution from the brilliant director of macabre stories about outcast individuals yearning for acceptance , and into a studio monkey whose name is used as part of multi-tiered marketing materials for crap movies . 
0    0    chris tucker is one of those guys you immediately get a reaction from -- you either find his helium voice , crazy eyes and jerky mannerisms funny or annoying . 
0    0    cashing in on the success of white men can't jump and the failure of most of their solo vehicles ( including the cowboy way and drop zone ) , wesley snipes and woody harrelson have reteamed , hoping that they can strike up the same success . 
1    0    girl 6 is , in a word , a mess . 
0    0    when a film is produced on a shoestring budget by a couple of hardworking filmmakers and when it tells the story of a genuine tragedy , the easy path for a reviewer who hated the movie is to give it a pass . 
1    0    in this year's summer movie preview issue of _entertainment_weekly_ , theresa connelly described her writing-directing debut , _polish_wedding_ , as " a child that did not quite become the child i thought it would . " 
1    0    several days after having seen this movie , i'm still trying to determine what director christopher guest , a man whose sense of humor i usually appreciate , found funny in either the concept or the execution of almost heroes . 
0    0    the general's daughter is a heartless , absurd film , a movie so hopelessly dedicated to its inane plot that it forgets entirely about its own characters . 
0    0    it used to be that not just anyone could become a vampire . 
0    0    it happens every year -- the days get longer , the weather gets warmer and the studios start releasing their big-budget blockbusters . 
0    0    this is the first film in what would become the most successful series of horror films of all time . 
0    0    there's a good , and timely , story trapped deep within the excess of murder in the first , a new movie about the abuses of our prison system . 
0    0    for his directoral debut , gary oldman chose a highly personal family drama about a violent , alcoholic husband and father , and the various lives he affects . 
0    0    i am a steven seagal fan . 
0    0    we're back in blade runner territory with this one , conceptual artist robert longo's vision of a william gibson-inspired future where information is the commodity to kill for . 
0    0    director andrew davis reworks his fugitive formula and the results are about as exciting as his last film-- the dreadful comedy steal big , steal little-- was funny . 
0    0     " meg ryan is irresistible in the comedy that celebrates sisterhood ! , " 
0    0    brian de palma's snake eyes stars nicolas cage's evil twin , who confusingly uses the same stage name as his talented brother . 
0    0    a movie about divorce and custody in 1995 seems about as timely as a movie about mood rings . 
0    0    synopsis : in " sooner than you think " america , the future of law enforcement resides in blade squad , a ragtag group of culturally diverse rollerblading cops with jetpacks strapped on their backs . 
0    0    to put it bluntly , ed wood would have been proud of this . 
0    0    making your first feature film ain't easy . 
0    0    the corruptor is a big silly mess of an action movie , complete with pointless plot turns and gratuitous violence . 
0    0     " return to horror high , " wants to be a couple different types of movies at once . 
0    0    this talky , terribly-plotted thriller stars alec baldwin as dave robicheaux , an ex-new orleans cop who gets ensnared in a murder- mystery after a light-plane crashes into the bayou beside his fishing boat . 
0    0    spoiled rich kid kelley morse ( chris klein ) receives a new mercedes for a graduation present . 
0    0    depending on your degree of cinematic acumen , last man standing is either a ) a prohibition-era remake of akira kurosawa's 1961 classic yojimbo ; b ) a prohibition-era remake of sergio leone's 1964 classic a fistful of dollars ; c ) a prohibition-era action drama with a completely original story-line . 
0    0    there may not be a critic alive who harbors as much affection for shlock monster movies as i do . 
0    0    renee zellweger stars as sonia , a young jewish wife and mother frustrated by the constraints of her hasidic community in brooklyn . 
0    0    it's a good thing most animated sci-fi movies come from japan , because " titan a . e . " is proof that hollywood doesn't have a clue how to do it . 
0    0    writing a screenplay for a thriller is hard . 
0    0    teenagers have a lot of power in hollywood . 
0    0    ah , and 1999 was going along so well , too . 
0    0    a number of critics have decided that it's open season on freddie prize jr . , slamming the young actor as an utterly talentless pretty boy on career cruise control in sound-alike , disposable teen fluff like " head over heels , " " boys and girls , " " down to you " and " she's all that . " 
0    0    martial arts master steven seagal ( not to mention director ! ) has built a career out of playing an allegedly fictitious martial arts superman who never gets hurt in fights , talks in a hushed tone , and squints at any sign of danger . 
0    0    _soldier_ is hands down one of the worst movies a person could ever have to sit through that doesn't have jean claude van damme in it . 
0    0    post-chasing amy , a slew of love-triangle movies : this month we have kissing a fool , co-starring amy's own lee , and april brings us the object of my affection , which may as well be titled chasing allan , for it is the story of a woman who falls in love with her gay roommate . 
0    0    yet another brainless teen flick , this one is about , surprise , drugs and sex . 
0    0    `bats' is an insulting slap across the face for any dedicated horror movie fan . 
0    0     " virus " is a monster movie without a monster . 
0    0    humanities quest for knowledge never ends . 
0    0    absolute power , the new film produced and directed by clint eastwood , attempts to be a thriller set in the world of hypocritical presidents and their murderous political staff . 
0    0    robin hood : men in tights is another mel-brooks-produced film in the classic tradition of movies like blazing saddles and young frankenstein . 
0    0    director luis mandoki's last film was the superb , serious 1994 drama " when a man loves a woman , " but his luck has ultimately run out with his latest picture , " message in a bottle , " which is the worst type of romance , a movie that tugs so relentlessly and violently at the heartstrings that it miraculously manages to dry out your eyes rather than tear them up . 
0    0    i remember really enjoying this movie when i saw it years ago . 
0    0    boy , what a great movie ! ! 
0    0    salaries of hollywood top actors are getting obscenely large these days and many find this to be the main reason for skyrocketing movie budgets . 
0    0    if anything , " stigmata " should be taken as a warning against releasing similarly-themed films relatively close to one another . 
0    0    there was a time when john carpenter was a great horror director . 
0    1    films adapted from comic books have had plenty of success , whether they're about superheroes ( batman , superman , spawn ) , or geared toward kids ( casper ) or the arthouse crowd ( ghost world ) , but there's never really been a comic book like from hell before . 
1    1    the american action film has been slowly drowning to death in a sea of asian wire-fu copycats . 
1    1    i've noticed something lately that i've never thought of before . 
1    1    synopsis : bobby garfield ( yelchin ) lives in a small town with his mirthless widowed mother ( hope davis ) . 
0    1    there's something about ben stiller that makes him a popular choice among casting directors these days . 
0    1    for those of us who weren't yet born when the 1960's rock 'n' rolled around , monterey pop affords an affectionate glimpse of the music that influenced our parents to be hippies . 
1    1    seen may 31 , 1999 on home video ( rented ) . 
1    1    the event of events is upon us . 
1    1    what do you get when you slap together a movie based on a story by the legendary george lucas , directed by virtuoso director steven spielberg , and starring one of the biggest box-office stars in the world , harrison ford ? 
1    1    the computer-animated comedy " shrek " is designed to be enjoyed on different levels by different groups . 
0    1    hollywood has really done the whole dracula thing to death ( no pun intended - honest ) . 
1    1    close your eyes for a moment , if you will , and imagine the sound of stephen rea's gaelic brogue , silky smooth and irish like a pint of guinness . 
1    1    zero effect gets its title from the main character , daryl zero ( bill pullman ) , although we don't understand what it truly means until the very last line of dialogue in the film . 
0    1    the long kiss goodnight ( r ) meryl streep tried it and failed . 
1    1    well , i know that stallone is 50 years old now , but in daylight he doesn't look it ! 
1    1    blade is the movie that shows that wesley snipes really can live up to his potential as one of hollywood's premier leading men . 
1    1    no film in recent has left me with such conflicted feelings as neil jordan's harrowing , humorous , horrifying adaptation of patrick mccabe's novel about young lad francie brady's ( eamonn owens ) descent into madness in 1960s ireland . 
1    1    since 1990 , the dramatic picture has undergone a certain change of style . 
1    1    wild things is a suspenseful thriller starring matt dillon , denise richards , and neve campbell that deals with all the issues ; sex , love , murder , and betrayal . 
1    1    james l . brooks , one of the developers of the simpsons and director of broadcast news , returns to the big screen with this entertaining , if slightly flawed comedy . 
1    1    i think that any competent member of the human race who's ever seen a movie--any movie--could probably predict just about every turn in the wedding singer . 
1    1    plot : a bunch of bad guys dressed up as elvis impersonators rob a vegas casino during a presley convention . 
0    1    plot : a human space astronaut accidentally falls upon a planet ruled by apes . 
1    1    in brief : best bleak comedy film since heathers . 
0    1    i have to say it . 
1    1    seen may 19 , 1999 at 5 p . m . at the crossgates cinema 18 ( guilderland , n . y . ) , theater #1 , with my brother john for $8 . 50 . 
1    1    warren beatty returns to the screens in the funniest , craziest and hard hitting movie in his career . 
1    1     " i've been told by several people , 'you're old fashioned . 
1    1    with storytelling this compelling , who needs books ? 
1    1    synopsis : committed to an asylum , the marquis de sade ( rush ) continues to publish pornographic literature , aided by young maid madeleine ( winslet ) . 
0    1    with his last two films - shine and snow falling on cedars - australian director scott hicks has proven his cinematic flashbacks to be some of the best out there , and his latest , hearts in atlantis , is no different . 
1    1    note : some may consider portions of the following text to be spoilers . 
1    1    no filmmaker deconstructs a story as well as atom egoyan . 
1    1    i know what i would do with $4 . 4 million if i found it in a previously undiscovered airplane crash site , especially if i were with jacob and lou . 
1    1    in some regards , making a movie is like trying to stretch a rubber band as far as you can without breaking it . 
1    1    it's a fact that a good thriller or action movie doesn't need violence to be good or worth watching . 
1    1    being that it is a foreign language film with no known names with a select number theaters showing it , " shall we dance " won't be seen by that many people . 
1    1    the caveman's valentine starring samuel l . jackson , ann magnuson , aunjanue ellis , tamara tunie screenplay by george dawes green , based on his novel directed by kasi lemmons 
0    1    expand the final fifteen minutes of home alone into a feature-length film and you've got baby's day out--an agreeably amusing children's comedy about a bumbling band of kid kidnappers who are unwittingly outwitted by an innocent infant . 
1    1    well , i'll admit when i first heard about this film ( which was before dante's peak ) i could just smell what 'twister' had started . 
1    1    near the end of frank capra's holiday classic , its a wonderful life , george bailey ( jimmy stewart ) is feeling down . 
1    1     " six days , seven nights " is a summer movie that gets the summer movie experience deliciously right , a commendable achievement considering the season thus far has been littered with some pretty uneven fare . 
1    1    there was a lot riding on this movie . 
1    1    perhaps it's time for me to say a little about my reading habits . 
0    1    upon arriving at the theater during the opening credits , i took my seat and prepared myself for what appeared to be " hellraiser meets the crow " . 
1    1    kadosh means sacred in hebrew . 
1    1    most people fit into two different categories : you either love woody allen , or you hate his guts . 
1    1    that's the question i asked myself when venturing nervously into " the wedding singer , " the latest film to star the saturday night live alumnus . 
0    1    richard linklater's " slacker , " made in 1991 for a budget of only $23 , 000 , immerses itself in the twentysomething , college-town culture of austin , texas . 
0    1     " a breed apart " casts rutger hauer as a crazy , bird-loving recluse who picks his feathered friends over kathleen turner . 
1    1    one way of telling if a film is good or not is by the length . 
1    1    this is a film about secrets , some that are innocent like those of a cute little farm girl , frances boyd ( ashley ) . 
1    1    `oh behave ! 
1    1    trailing the success of brit humour in the movie industry with the likes of the semi-dramatic the commitments and the nearly slapstick a fish called wanda , the full monty is one film which delivered the depth of the former and the humour magnitude of the latter . 
1    1    notting hill's trailer is awful : a laughless , schmaltzy montage . 
1    1    the muppet movie is the first , and the best movie among the ever-growing list of muppet movies . 
1    1    it is simply amazing how " the green mile " developed in its three hour running time . 
1    1    the jekyll and hyde story told from his maid's point of view is , in a word , " dark " . 
0    1    aggressive , bleak , and unrelenting film about an interracial couple , steve and sam ( damon jones and elexa williams respectively ) , who are viciously attacked in a parking garage one night by a gang of skinheads . 
1    1    people who enjoy science fiction are often faced with unpleasant surprises due to the improper labelling of novels , stories , comic books or movies . 
1    1    matthew broderick and high school comedy . 
1    1    if he doesn=92t watch out , mel gibson is in danger of being known as someone other than mad max . 
1    1    the full monty is a whole lot of fun , its wacky , witty , and original . 
1    1    it must be some sort of warped critical nightmare : the best movie of the year would be a summer vehicle , a jim carrey vehicle at that . 
1    1    produced by robert lantos & stephen j . roth 
1    1    like the wonderful 1990 drama , " awakenings , " starring robin williams and robert de niro , " at first sight , " directed by irwin winkler , is inspired by a true story documented by physicfirst sight , " directed by irwin winkler , is inspired by a true story documented by physician oliver sacks . 
0    1    do you want to know the truth about cats and dogs ? 
1    1    martin scorsese's kundun , which chronicles roughly the first twenty years of the life of the currently exiled dalai lama , has been criticized for its lack of narrative structure . 
1    1    with the abundance of trite , recycled movies in the late '90s , there is a tremendous demand by movie lovers ( never mind movie critics ) for movies that present the wide film audience with something truly original : perhaps audaciously , perhaps purely thematically . 
1    1    contrary to the title , " the boxer " is not another rocky story only this time spliced with some cold hard politics . 
1    1    titanic is , without a doubt , the best movie i've seen all year . 
1    1    there's a moment in schindler's list when a number of jews are trudging through snow , clean and crisp , dark edges and frost on the ground . 
1    1    in tim burton's `sleepy hollow' , there is a mysterious headless horseman who decapitates residents of the small town of the same name . 
1    1    there was a huge crowd - so many over 100 people could not be admitted - at a premiere screening of " the nephew " ( first screening with a major general audience admittance ) . 
1    1    plot : odin is a great high school basketball player . 
1    1    the year is 1962 and the military is conducting nuclear testings . 
1    1    _in brief : _ this film needs no introduction . 
1    1    in some respects , rush hour is the ultimate exercise in cliched filmmaking . 
1    1    countries and legal systems that take the rule of law principle seriously , had forbidden judges and juries to make judgements in all matters that could involve them personally . 
1    1    frequency n . , 
1    1     " psycho meets the exorcist with no holds barred " . 
1    1    disney cements their place in the forefront of feature animation with the release of their latest animated adventure , mulan . 
0    1    the rich man's wife is one of those movies like final analysis or body double , where the story and characters are so one-dimensional and contrived that you know you shouldn't be enjoying yourself . 
1    1    on april 12th , 1912 , the most astonishing shipwreck in the history of the world occurred . 
0    1    based on the relatively unknown ( in comparison to spider-man ) marvel comic book , blade tells the story of half-vampire half-human ( played by wesley snipes ) who was born of a vampire's latest meal . 
1    1    david cronenberg presents us with another strange tale crawling out of his impressively twisted head . 
1    1    scarface , a remake of the 1932 film of the same name , is a very gripping and , as far as i know , a true-to-life story of how power and violence lead to corruption . 
1    1    david mamet has long been my favorite screenwriter and director . 
1    1    when casting the key part of the voice of moses , most people's first candidate would probably not be the controversial actor val kilmer ( the saint and the island of dr . 
1    1    a costume drama set in the 1500s , england , elizabeth is a lush , romantic , political masterpiece about the upset over the crossing of a protestant queen from a respected catholic one . 
1    1    a sci fi/comedy starring jack nicholson , pierce brosnan , annette benning , glenn close , martin short and other stars . 
1    1    rated : r for strong language , sexual dialogue , drug use , crude humor , violence and brief nudity . 
0    1    50's `aliens vs . 
1    1    susan granger's review of " the perfect storm " ( warner bros . ) 
1    1    when quentin tarantino made " pulp fiction " , he was not only making the greatest film of the 90s ; he was also making what i believe to be the most influential movie of all time . 
1    1    there's some movies i enjoy even though i know i probably shouldn't and have a difficult time trying to explain why i did . 
1    1    are we victims of fate in life or can we create our own destiny ? 
1    1    krippendorf's tribe is a formula comedy . 
1    1    not since 1996's shine , which starred geoffrey rush as pianist david helfgott , has a movie so defiantly laid bare the lives of world-class musicians . 
1    1    many people will not find much to like in what dreams may come , the new film by visionary director vincent ward . 
1    1    nosferatu the vampyre ( germany 1979 ) 
1    1    ingredients : london gal , fate , true love , running joke about monty python's spanish inquisition 
1    1    james jones , one of the major novelists from the middle of the twentieth century , has written a number of fictional works about the effects of war on the individual . 
1    1    the heartbreak kid ( reviewed on aug . 26th/1998 ) 
1    1    don't let the following quirks of this review , fool you into believing that this movie is anything short of an ultimate labour of love . 
1    1    after the simple looking little spacecraft lands in a automobile wrecking yard , out steps a steel-gray , human-like creature with aquamarine eyes and clad in a muscular suit . 
0    1    there's good news and bad news about mulan . 
1    1    oh god how many john grisham lawyer films we have been munundated with ! 
